model,sub,pred,time_seconds
HGI,sub3,720,60318
HGI,sub3,96,3382
HGI,sub1,336,8
HGI,sub2,720,72171
HGI,sub1,720,46580
HGI,sub1,192,8
HGI,sub1,336,28570
HGI,sub2,192,3677
HGI,sub1,96,5478
HGI,sub3,336,12494
HGI,sub2,336,5413
HGI,sub1,720,8
HGI,sub2,96,3574
HGI,sub1,192,34566
HGI,sub3,192,3877
