model,sub,pred,time_seconds
TimeMKG,sub2,720,6663
TimeMKG,sub1,336,6084
TimeMKG,sub3,192,5698
TimeMKG,sub3,720,4465
TimeMKG,sub3,96,6435
TimeMKG,sub1,720,17438
TimeMKG,sub2,96,94653
TimeMKG,sub3,336,5013
TimeMKG,sub1,192,5972
TimeMKG,sub2,336,17648
TimeMKG,sub1,96,6077
TimeMKG,sub2,192,11089
